term,component_1,component_2
qui,-0.20445248924123896,0.15852324730269293
place,-0.2043944332922875,0.0029175389553154334
continue,-0.20419208697989052,-0.05046030189263557
consequences,-0.2041742570741843,0.07473552518648147
practitioners,-0.20388604182735823,-0.1538002480540007
people,-0.20375294709598307,-0.03282869135996224
accordance,-0.20362887516639128,0.07421042835540997
months,-0.20344464730063283,0.38415561782480695
status,-0.20135144710323624,0.13841620760420933
medicine,-0.20129613330356813,0.2622889807935932
randomly,-0.20107837395841838,0.3845585521096958
organizations,-0.20061898300661005,-0.22254898989564997
institute,-0.20051156366670692,0.1741935379038747
offered,-0.20034514809008688,-0.07457226622927572
contributed,-0.2003031569103532,0.08067018478822656
difficulties,-0.20005609881442082,-0.10591458413083832
papers,-0.1997382186143652,-0.09387837167115394
managers,-0.1995537239556463,-0.16661570557487934
library,-0.19856487282395113,-0.16334121853380218
science,-0.19848103434636002,-0.11424003447218492
drawn,-0.19827728374140638,0.008109020054927859
functioning,-0.19705757910924973,0.06579294922911304
background,-0.19703949584826272,0.22978381187770974
reporting,-0.196561601683384,-0.0043591986440287556
topic,-0.19644609464084412,-0.10069268839334646
category,-0.19607597416325523,0.03591068160930879
disorders,-0.19496021704090336,0.35963346948048414
prepare,-0.19415956535987083,-0.0878704597244416
doi,-0.1920450797352911,0.03738051187144886
marketing,-0.1918407435619085,-0.2504393094425979
conceptual,-0.1917872483937267,-0.175787322459878
accepted,-0.1915285754653185,0.0805982043694504
acts,-0.19146640523350866,-0.03459468655990982
infection,-0.1913291156153157,1.0310393728125875
activities,-0.19092034044872586,-0.050045990146156925
come,-0.19053341562217962,-0.04517487437916239
european,-0.19015179159221673,0.07537837277227491
month,-0.18983588338421825,0.3856231519998463
significant differences,-0.18954807735635754,0.36123886425356655
knowledge,-0.18939635822316786,-0.08887146629605815
influenced,-0.18923076136529587,0.11200535641061538
surveys,-0.18922980968395667,-0.02544837920059299
financial,-0.18905555733356316,-0.1428919257294194
relation,-0.18899279411883116,0.08854954833356118
reflected,-0.18864671699254576,0.05541141931428269
post,-0.18789847919620975,0.13387519150460248
document,-0.18738524833746786,-0.12267734947959612
findings suggest,-0.1871094851830299,0.005019348478396431
drugs,-0.18701387271587933,0.7555621365452969
findings indicate,-0.18693973401777458,-0.1481579632258861
diet,-0.1868313644760092,0.746230179205293
